bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm,risk_grade,risk_available,as_of_date,source_table
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,도이치에그리자주식C1,,도이치에그리비즈니스증권자투자신탁[주식]Cls C1,도이치에그리비즈니스증권자투자신탁[주식]Cls C1,KR5143450012,00000000000000000000,KRZ500338896,81062,0,주식형,00040084,해외,해당없음,00,해당없음,공모,032660081060,판매완료,KR5231672936,Y,00020088,,,,False,2026-07-11,PRFD01N001
KOSPI200 5% +  KIS Bond Index 01Y 95%,KOSPI200 5% + KIS종합채권 01Y 95%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,멀티스트래티지1파A,,하이멀티스트래티지1주혼파생A,하이멀티스트래티지1주혼파생A,KR5116470010,00000000000000000000,KRZ500570551,00AG170,0,06,00040018,국내,해당없음,00,해당없음,공모,KR0000000000,판매완료,KR5104957539,Y,00020081,,,,False,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,N,000,국내,306.90,1.25,57.38,130.18,42170773598.0000,10,9.21,233.05,263.97,316.21,264.68,0,000000000000,0,배당,신한밸류업인덱스알파증권자1[주식]Ce,,SH VALUE-UP INDEX ALPHA SECURITY INVESTMENT TRUST NO.1[EQUITY] CLASS CE,신한밸류업인덱스알파증권자투자신탁제1호[주식](종류Ce),KR511602003M,00000000000000000000,KRZ500279992,4052,0,주식형,00040067,국내,해당없음,00,해당없음,공모,030480004050,판매중,KR5219684382,Y,00020020,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI Mid&SmallCap Index,중소형지수,KRW,,000,국내,,,,,13756762033.0000,10,,,,,,0,0011644C0106,0,배당,한국밸류10년투자중소형자투자(주식)C2,,한국밸류10년투자중소형증권자투자신탁(주식)종류 C2,한국밸류10년투자중소형증권자투자신탁(주식)종류 C2,KR5174450052,12111412901011113ZZ3,KRZ501861534,0016100,0,주식형,00080021,국내,해당없음,00,해당없음,공모,033910016100,판매중,KR5236AN1017,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,N,000,글로벌,,0.92,14.01,20.07,69848362126.0000,10,1.03,,,,,0,0010186C00IN,0,배당,신한마음편한적격TDF2060(UH)[주혼재](Cr),,신한마음편한적격TDF2060증권자투자신탁(UH)[주식혼합-재간접형](종류C-r),신한마음편한적격TDF2060증권자투자신탁(UH)[주식혼합-재간접형](종류C-r),KR5117490422,16123A120600211ZZZZ2,KRZ502627659,0275580,0,재간접,00040067,해외,해당없음,00,해당없음,공모,030480275580,판매중,K55210EJ9671,Y,00020020,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
ZEROIN AI Expected Return Index,제로인 대안투자기대수익지수,KRW,Y,000,남미/북미,,,,,2373893329.0000,10,,,,,,0,0010198C2087,0,배당,KB북미유전고배당투자신탁(인프라-재)Ce,,KB NORTH AMERICA HIGH INCOME UPSTREAM SPECIAL ASSET FUND(INFRA-FOFS) CLASS C-E,KB북미생산유전고배당특별자산투자신탁(인프라-재간접형) Ce 클래스,KR5127490027,181216123691062ZZZZA,KRZ501974734,0002M81,0,특별자산,00040035,해외,해당없음,00,해당없음,공모,030230002M81,판매완료,K55223B13164,Y,00020027,,,,False,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,38.58,1.17,11.64,20.68,613253125.0000,10,2.35,31.76,36.00,42.09,39.42,0,0010173C2961,0,배당,삼성배당주장기30자투자제1호(채권혼합)A,,SAMSUNG DIVIDEND STOCK LONG-TERM 30 FUND NO.1(BOND-HYBRID)A,삼성배당주장기30증권자투자신탁제1호[채권혼합] A 클래스,KR510504009M,14111212301012411ZZ5,KRZ500191891,2M8761,0,채권혼합,00040010,국내,해당없음,00,해당없음,공모,030200218761,판매중,KR5105819274,Y,00020032,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
Barclays GLOBAL HIGH YIELD 35% + JACI Corporates 25% + MSCI ACWI 25% + JP Morgan GBI-EM 15%,바클레이 하이일드 35% + JP 회사채 25% + MSCI ACWI 25% + JP 이머징 15%,KRW,Y,000,글로벌,10.35,-1.36,1.01,4.34,21499739985.0000,10,-0.99,8.61,12.74,17.05,0.04,0,0011458C0352,0,배당,피델리티글로벌멀티인컴자(채혼-재)A,,FIDELITY KOREA GLOBAL MULTI ASSET (BOND BALANCEDFUND OF FUNDS)CLASS A,피델리티글로벌멀티에셋인컴증권자투자신탁(채권혼합-재간접형)종류A,KR5148490090,161232120010221ZZ26E,KRZ501890521,0054111,0,재간접,00080029,해외,해당없음,00,해당없음,공모,033180054111,판매중,KR5235AR7664,Y,00020054,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
ZEROIN AI Expected Return Index,제로인 대안투자기대수익지수,KRW,N,000,남미/북미,10.91,1.83,3.21,3.60,4470364240.0000,10,-0.83,14.26,20.11,45.81,59.38,0,0010204C1358,0,배당,카디안미국뱅크론특자(UH)(대출-재)CP2,,카디안 미국뱅크론특별자산자투자신탁(UH)[대출채권-재간접형]클래스C-P2,카디안 미국뱅크론특별자산자투자신탁(UH)[대출채권-재간접형]클래스C-P2,KR5133400029,18123A12036106922ZZ4,KRZ502007019,0067301,0,재간접,00040038,해외,개인,00,해당없음,공모,031890067301,판매중,KR5229AY2854,Y,00020081,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI (KRW) ×90% + Call ×10%,MSCI ACWI (KRW) ×90% + Call ×10%,KRW,N,000,글로벌,29.12,0.32,10.46,10.00,61699908842.0000,10,-1.28,28.23,46.58,95.40,96.21,0,0010660C5709,0,배당,한국투자웰링턴글로벌퀄리티자UH(주식)CR,,한국투자웰링턴글로벌퀄리티증권자투자신탁UH(주식) 종류 C-R,한국투자웰링턴글로벌퀄리티증권자투자신탁UH(주식) 종류 C-R,KR5113450272,12123A12060021101ZZ3,KRZ50205558B,0005A66,0,주식형,00040024,해외,해당없음,00,해당없음,공모,032280005A66,판매중,K55101BD5787,Y,00020081,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI200 10% +  KAP Bond Index 01Y 90%,KOSPI200 10% + 종합채권 01Y 90%,KRW,,000,국내,3.62,-0.13,0.27,0.75,6694187778.0000,10,0.26,2.07,5.56,10.55,15.86,0,0010175C3214,0,배당,우리뱅크플러스공모주10증권자2(채혼)Ce,,WOORI BANK PLUS 10 HYBRID BOND 2TH CLASS CE,우리뱅크플러스공모주10증권자투자신탁2호(채권혼합)Class C-e,KR511704005M,14111612301012611ZZ5,KRZ500144753,8563,0,채권혼합,00040007,국내,해당없음,00,해당없음,공모,031010009563,판매중,KR5107273223,Y,00020081,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KIS Treasury 02Y 90%,KIS국공채02Y 90%,KRW,,000,국내,,,,,,20,,,,,,0,000000000000,0,배당,LG분리과세국공채1호,,LG NEW SEPERATE TAX GOVERMENT  FUND NO.1,LG신종분리과세국공채투자신탁1호,KR512262401M,00000000000000000000,,9999999999,0,채권형,00080052,국내,해당없음,00,해당없음,공모,000000000000,판매완료,KR5206385787,,00020081,,,,False,2026-07-11,PRFD01N001
MSCI ACWI Financials,MSCI ACWI Financials,KRW,Y,000,글로벌,12.70,3.17,9.78,-0.14,100379245640.0000,10,0.32,7.48,28.65,51.61,40.56,0,0011458C0173,0,배당,피델리티글로벌금융주자(주식-재간접)C2,,FIDELITY KOREA - GLOBAL FINANCIAL SERVICE BABY INVESTMENT TRUST (EQUITY-FUND OF FUNDS) CLASS C2,피델리티글로벌금융주증권자투자신탁(주식-재간접)C2,KR5148450032,1612341201402150118C,KRZ500519169,0044611,0,재간접,00080029,해외,해당없음,00,해당없음,공모,033180044611,판매중,KR5235997651,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,N,000,국내,382.47,5.68,62.71,141.54,3300356554513.0000,10,11.06,274.04,261.83,338.89,344.54,0,0011317C2120,0,배당,NH-Amundi필승코리아증권[주식]Ce,,NH-AMUNDI 필승 코리아 증권투자신탁[주식] CLASS CE,NH-Amundi 필승 코리아 증권투자신탁[주식] Class Ce,KR5144450096,12111612001011111ZZ2,KRZ502242405,00EPM53,0,주식형,00040040,국내,해당없음,00,해당없음,공모,0325700EPM53,판매중,K55232C99519,Y,00020020,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI CHINA A(Local),MSCI CHINA A(로컬),KRW,Y,000,아시아,19.78,-2.69,3.95,4.62,72540431784.0000,10,-0.52,19.45,35.11,22.68,-24.50,0,000000000000,0,배당,미래에셋차이나본토자1호(H)(주식)Ce4,,Mirae Asset China A Share Equity Feeder Investment Trust No.1(H)Class 01,미래에셋차이나본토증권자투자신탁1호(H)(주식) C-e4,KR5153450057,00000000000000000000,KRZ501548019,0533200,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910533200,판매중,KR5301933986,Y,00020004,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,,0.83,2.33,15.03,256366879721.0000,10,3.38,33.60,,,,0,0011317C3011,0,배당,NH-Amundi글로벌우주항공증권자(H)[주식]C,,NH-Amundi Global Aerospace Feeder Fund(H)[Equity] Class C,NH-Amundi 글로벌 우주항공 증권자투자신탁(H)[주식] Class C,KR5144450002,12123412001021111ZZB,KRZ502510614,00EPM88,0,주식형,00040040,해외,해당없음,00,해당없음,공모,0325700EPM88,판매중,K55232DI0627,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,14.39,-2.20,1.93,5.08,26820969573.0000,10,1.83,5.25,,,,0,0010660C6190,0,배당,한국퇴직연금롱텀밸류40자2(채권혼합)Ce,,한국투자퇴직연금롱텀밸류40증권자투자신탁2호(채권혼합) 종류 C-e,한국투자퇴직연금롱텀밸류40증권자투자신탁2호(채권혼합) 종류 C-e,KR5113502003,14113612060012211114,KRZ501204352,0004Z73,0,채권혼합,00040024,국내,해당없음,00,해당없음,공모,032280004Z73,판매중,K55101BT5748,Y,00020004,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,N,000,글로벌,,2.14,17.75,26.66,61425789621.0000,10,1.69,,,,,0,0010186C00N6,0,배당,신한빠른대응적격TDF2060(UH)[주혼재](Cpe),,신한빠른대응적격TDF2060증권자투자신탁(UH)[주식혼합-재간접형](종류C-pe),신한빠른대응적격TDF2060증권자투자신탁(UH)[주식혼합-재간접형](종류C-pe),KR5117490440,161236120360211ZZZZ2,KRZ502635739,0275760,0,재간접,00040067,해외,개인,00,해당없음,공모,030480275760,판매중,K55210EL6558,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
Bloomberg U.S. High Yeild 2% Issuer cap 90% + Call 10%,Bloomberg U.S. High Yeild 2% Issuer cap 90% + Call 10%,KRW,Y,000,남미/북미,,,,,,10,,,,,,0,000000000000,0,배당,피델미국하이일채재C,,Fidelity Korea-US High Yield Baby Investment Trust (Bond-Fund of Funds)Class C,피델리티 미국 하이일드 증권 자투자신탁 (채권-재간접형) 종류C,KR5148420121,00000000000000000000,KRZ501785543,0050111,0,재간접,00080029,해외,해당없음,00,해당없음,공모,033180050111,판매완료,KR5235AC9261,,00020054,,,,False,2026-07-11,PRFD01N001
MSCI RUSSIA,MSCI RUSSIA,KRW,Y,000,이머징/브릭스,-72.74,0.10,0.28,0.56,7833306841.0000,10,0.02,1.13,-71.77,-70.12,-81.15,0,0011777C0032,0,배당,한화러시아증권자투자신탁(주식재간접형)A,,HANWHA RUSSIA SECURITIES FEEDER INVESTMENT TRUST (EQUITY-FOF) CLASS A,한화러시아증권자투자신탁(주식-재간접형)A,KR5170450020,1612321200107110120A,KRZ500397351,0200291,0,재간접,00040027,해외,해당없음,00,해당없음,공모,030220200291,판매중,KR5237737600,Y,00020004,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,Y,000,글로벌,11.76,0.14,3.30,4.19,3155205636.0000,10,0.59,10.21,16.99,27.84,15.55,0,0011959C0468,0,배당,트러스톤백년30EMP자산배분자[채-재]Cp,,트러스톤백년30EMP자산배분증권자투자신탁[채권혼합-재간접형] Cp클래스,트러스톤백년30EMP자산배분증권자투자신탁[채권혼합-재간접형] Cp클래스,KR5172490002,16133412036022111ZZD,KRZ502154225,0A03500,0,재간접,00080043,국내외혼합,개인,00,해당없음,공모,029000A03500,판매중,K55363BR2385,Y,00020003,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI200 10% +  KAP Bond Index 01Y 90%,KOSPI200 10% + 종합채권 01Y 90%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,멀티에셋공모주채움증권제1호[채권혼합]Crp,,멀티에셋공모주채움증권투자신탁 제1호[채권혼합]CRP,멀티에셋공모주채움증권투자신탁 제1호[채권혼합]Crp,KR5110530041,00000000000000000000,KRZ501772486,0044105,0,채권혼합,00040011,국내,해당없음,00,해당없음,공모,030410044105,판매완료,K55205BC9884,Y,00020003,,,,False,2026-07-11,PRFD01N001
HO CHI MINH STOCK INDEX(KRW),베트남 호치민(KRW),KRW,N,000,아시아,,,,,10763216016.0000,10,,,,,,0,0010205C5405,0,배당,미래에셋베트남고배당IPO자(UH)(주식)C2,,미래에셋베트남고배당IPO증권자투자신탁(UH)(주식)종류C2,미래에셋베트남고배당IPO증권자투자신탁(UH)(주식)종류C2,KR5153450762,12123412001191111262,KRZ502255925,0483040,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910483040,판매중,K55301CB9580,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
채권종합지수 1~2Y,종합채권 1~2년,KRW,,000,국내,-0.35,-0.16,-0.64,-0.97,250837973.0000,10,0.48,-1.46,3.11,7.71,6.71,0,0010204C0927,0,배당,카디안코리아채권자투자(채권)A,,카디안 코리아채권 증권자투자신탁[채권] 클래스 A,카디안 코리아채권 증권자투자신탁[채권] 클래스 A,KR5133420010,11113212001013122ZZ5,KRZ500507551,0030811,0,채권형,00040038,국내,해당없음,00,해당없음,공모,031890030811,판매중,KR5229930866,Y,00020004,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI ACWI(USD) 95% + CALL 5%,MSCI ACWI(USD) 95% + CALL 5%,KRW,Y,000,글로벌,,-0.81,4.03,,52948587001.0000,10,-0.75,,,,,0,0011644C0337,0,배당,한국밸류글로벌배당인컴자(주식)C,,한국밸류 글로벌 배당인컴 증권자투자신탁(주식)종류C,한국밸류 글로벌 배당인컴 증권자투자신탁(주식)종류C,KR5174450007,12123412001021411214,KRZ502376774,0034100,0,주식형,00080021,해외,해당없음,00,해당없음,공모,033910034100,판매중,K55236CW9643,Y,00020081,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,동부글로벌헬스H주C1,,동부글로벌바이오헬스케어증권자투자신탁(H)[주식]C1,동부글로벌바이오헬스케어증권자투자신탁(H)[주식]C1,KR5131450031,00000000000000000000,KRZ501885933,0062210,0,주식형,00040006,해외,해당없음,00,해당없음,공모,030190062210,판매완료,KR5216AQ5795,Y,00020081,,,,False,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,20.41,0.32,5.99,11.79,1698136332.0000,10,0.29,15.74,18.04,26.12,27.68,0,0010205C3251,0,배당,미래에셋스마트롱숏30증권자2(채-혼)C,,미래에셋스마트롱숏30증권자투자신탁2호(채권혼합)C,미래에셋스마트롱숏30증권자투자신탁2호(채권혼합)C,KR5153430091,14113612001012111265,KRZ502034183,0484620,0,채권혼합,00080008,국내,해당없음,00,해당없음,공모,031910484620,판매중,K55301BA3635,Y,00020088,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KAP Bond Index 02Y 90%,종합채권02Y 90%,KRW,,000,국내,5.23,0.25,0.80,1.68,1786618568602.0000,10,0.06,3.17,7.70,16.21,,0,0010207C1838,0,배당,코레이트셀렉트단기채투자(채권)C-P2e,,코레이트셀렉트단기채증권투자신탁[채권]_C-P2e,코레이트셀렉트단기채증권투자신탁[채권]_C-P2e,KR5160420009,11111A12060013121ZZ6,KRZ50218568B,0060017,0,채권형,00080006,국내,해당없음,00,해당없음,공모,032550060017,판매중,K55310BZ7032,Y,00020081,6,매우 낮은 위험,6.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,282.78,2.73,51.64,112.48,29139470726.0000,10,10.78,213.36,234.50,378.15,316.44,0,K55226BQ9883,0,배당,HDC좋은지배구조1호(주식)CP2,,HDC좋은지배구조증권투자신탁 1[주식]CLASS C-P2,HDC좋은지배구조증권투자신탁 1[주식]Class C-P2,KR5132450019,12111A12036011111ZZ2,KRZ50133901C,0040251,0,주식형,00040016,국내,개인,00,해당없음,공모,032490040251,판매중,K55226BQ9883,Y,00020011,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,KRW,Y,000,글로벌,4.76,0.43,0.39,0.34,517216301.0000,10,-0.11,2.83,8.04,15.63,1.96,0,0010654C0133,0,배당,키움슈로더글로벌채권인컴투자H(채재)A,,키움슈로더글로벌채권인컴증권투자신탁H(채권-재간접형)A,키움슈로더글로벌채권인컴증권투자신탁H(채권-재간접형)A,KR517309002M,1612121202702342326D,KRZ500571721,7121,0,재간접,00080052,해외,해당없음,00,해당없음,공모,032580007A26,판매중,KR5230954046,Y,00020004,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI EM LATIN AMERICA,MSCI EM LATIN AMERICA,KRW,N,000,남미/북미,,,,,,10,,,,,,0,0010181C2054,0,배당,미래에셋삼바브라질포커스자(주식)C1c,,미래에셋삼바브라질포커스증권자투자신탁 [주식]C1c,미래에셋삼바브라질포커스증권자투자신탁 [주식]C1c,KR5110450036,1212341230111110123A,KRZ500480659,0263311,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910263311,판매중,KR5205996527,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI CHINA A,MSCI CHINA A,KRW,N,000,아시아,,,,,5378650837.0000,10,,,,,,0,0010173C3325,0,배당,삼성CHINA2.0본토증권자투자2[주식]C3,,삼성 CHINA2.0 본토증권자투자신탁 제2호[주식] C3 클래스,삼성 CHINA2.0 본토증권자투자신탁 제2호[주식] C3 클래스,KR5114450113,12123412001171101262,KRZ500555514,02M7600,0,주식형,00040010,해외,해당없음,00,해당없음,공모,0302002M9700,판매중,KR5105924660,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
NASDAQ 100,나스닥 100,KRW,Y,000,남미/북미,,1.96,27.57,20.28,2032679335.0000,10,3.81,36.15,,,,0,0010205C7078,0,배당,미래에셋AI미국나스닥증권자(주식)(H)CPe,,미래에셋AI미국나스닥증권자투자신탁(주식)(H) 종류C-Pe,미래에셋AI미국나스닥증권자투자신탁(주식)(H) 종류C-Pe,KR5153451138,1212361203610111220B,KRZ50257308B,0537570,0,주식형,00080008,해외,개인,00,해당없음,공모,031910537570,판매중,K55301E68729,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 75% + KAP Bond Index 01Y 25%,MSCI ACWI CR 75% + 종합채권01Y 25%,KRW,Y,000,글로벌,,-0.04,8.95,,40812675007.0000,10,0.52,,,,,0,0010192C00HK,0,배당,DBOCIO자산배분성장형[혼합-재간접]C-P2,,DBOCIO자산배분성장형증권투자신탁[혼합-재간접형]종류C-P2,DBOCIO자산배분성장형증권투자신탁[혼합-재간접형]종류C-P2,KR5131490038,16131A120600221ZZZZC,KRZ50256279C,0042961,0,재간접,00040006,국내외혼합,해당없음,00,해당없음,공모,030190042961,판매중,K55216E42393,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,N,000,국내,250.63,3.89,53.48,113.02,96784580841.0000,10,10.35,195.87,210.07,,,0,0011440C0666,0,배당,칸서스하베스트증권자투신1(주식)Ce,,칸서스하베스트증권자투자신탁1호(주식) Class Ce,칸서스하베스트증권자투자신탁1호(주식) Class Ce,KR5146450007,12113612001011111112,KRZ50113294P,0040001,0,주식형,00080016,국내,해당없음,00,해당없음,공모,033400040001,판매중,K55233BT2761,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 5% +  KAP Bond Index 01Y 95%,KOSPI200 5% + 종합채권 01Y 95%,KRW,,000,국내,58.87,0.49,16.04,30.67,16874027468.0000,10,3.78,50.38,,,,0,0011317C1913,0,배당,NH-Amundi4차산업혁명증권자[채혼]CP2e,,NH-AMUNDI RETIREMENT PENSION 4TH INDUSTRIAL REVOLUTION FEEDER[BOND BAL.],NH-Amundi 퇴직연금 4차산업혁명 증권 자투자신탁[채권혼합]Class C-P2e,KR5144430091,14113A12060013111264,KRZ501205732,00RB004,0,채권혼합,00040040,국내,해당없음,00,해당없음,공모,0325700RB004,판매중,K55232BX7534,Y,00020088,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,40.88,1.17,13.47,18.51,372199538303.0000,10,1.09,39.09,51.11,77.11,,0,0010189C2975,0,배당,한화LIFEPLUS적격TDF2050(주혼재)CPe,,한화 LIFEPLUS 적격 TDF 2050 증권 자투자신탁(주식혼합-재간접형) C-Pe(연금저축),한화 LIFEPLUS 적격 TDF 2050 증권 자투자신탁(주식혼합-재간접형) C-Pe(연금저축),KR5129490088,16121412036021111ZZ2,KRZ502428459,0008990,0,재간접,00040027,해외,개인,00,해당없음,공모,030220008990,판매중,K55213D64933,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,USD,N,000,글로벌,5.31,0.94,1.18,0.93,720233.2200,10,0.54,3.96,,,,1,0010203C0863,0,배당,우리 PIMCO글로벌투자등급(USD)[채-재]CE,,우리 PIMCO글로벌투자등급증권투자신탁(USD)[채권_재간접형]_CLASS C(E),우리PIMCO글로벌투자등급증권투자신탁(USD)[채권_재간접형]_ClassC(E),KR5138490096,161216120010231ZZZZ4,KRZ502363134,000Q830,0,재간접,00040007,해외,해당없음,00,해당없음,공모,03101000Q126,판매중,K55228CU8795,Y,00020088,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
ZEROIN Bloomberg GLOBAL HIGH YIELD(KRW HEDGED),제로인 Bloomberg GLOBAL HIGH YIELD(KRW HEDGED),KRW,Y,000,글로벌,,,,,5454292008.0000,10,,,,,,0,000000000000,0,배당,미래법인글로벌하이일드월지급자1(채-재),,미래에셋법인전용글로벌하이일드월지급식증권자투자신탁1호(채권-재간접형),미래에셋법인전용글로벌하이일드월지급식증권자투자신탁1호(채권-재간접형),KR5153490031,00000000000000000000,KRZ501786340,0530990,0,채권형,00080008,해외,법인,00,해당없음,공모,031910530990,판매완료,KR5301AD7453,Y,00020027,,,,False,2026-07-11,PRFD01N001
Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,KRW,N,410,남미/북미,11.38,2.02,2.35,4.54,106788949812.0000,10,-0.80,14.24,18.44,36.92,56.66,0,0010205C5462,0,배당,미래에셋미국달러채권자1호(UH)(채권)C,,미래에셋미국달러채권증권자투자신탁1호(UH)(채권) 종류C,미래에셋미국달러채권증권자투자신탁1호(UH)(채권) 종류C,KR5153420261,11123412001103300000,KRZ502258894,0536230,0,채권형,00080008,해외,해당없음,00,해당없음,공모,031910536230,판매중,K55301CC8730,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + GBI Global(KRW Hedged) 75%,MSCI ACWI CR 25% + GBI Global(KRW Hedged) 75%,KRW,Y,000,아시아,,,,,322428738.0000,10,,,,,,0,0010198C2174,0,배당,KB한일롱숏증권자투자신탁(주혼-파)C3,,KB KJ LONG SHORT SECURITIES FEEDER FUND(EQUITY MIXED-DERIVATIVES) C3,KB한일롱숏증권자투자신탁(주식혼합-파생형)C3클래스,KR5127470023,13233412301265111ZZC,KRZ501870478,0002I02,0,06,00040035,해외,해당없음,00,해당없음,공모,030230002I02,판매완료,KR5223AO0286,Y,00020027,,,,False,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,와이즈더블스타1주식,,와이즈더블스타1주식,와이즈더블스타1주식,KR5158601001,00000000000000000000,KRZ500197460,0A11006,0,주식형,00080157,국내,해당없음,00,해당없음,공모,KR0000000000,판매완료,KR5313526836,Y,00020011,,,,False,2026-07-11,PRFD01N001
KOSPI200 25% + KIS Bond Index 01Y 75%,KOSPI200 25% + KIS채권종합01Y 75%,KRW,,000,국내,,,,,,20,,,,,,0,000000000000,0,배당,동부프리메라LD1채혼,,DONGBU PRIMERA FUND NO.LD-1(BOND HYBRID),동부프리메라증권투자신탁제LD-1호(채권혼합),KR513104004M,00000000000000000000,KRZ501823630,29281,0,채권혼합,00040006,국내,법인,00,해당없음,공모,030190029281,판매완료,KR5216AI6926,Y,00050004,,,,False,2026-07-11,PRFD01N001
채권종합지수 1~2Y,채권종합지수 1~2년,KRW,,000,국내,,,,,,00,,,,,,0,000000000000,0,배당,국채장기1,,국채장기1,국채장기1,KR5010252001,00000000000000000000,KRZ500023560,11901,0,채권형,00040011,국내,해당없음,00,해당없음,공모,KR0000000000,판매완료,KR5205102035,,00020081,,,,False,2026-07-11,PRFD01N001
