cu_base_index,cu_charge_rt,cu_fund_mgmt_co,cu_lev_fector,cu_strtegy,cu_upt_dt,du_bpr,du_clpr,du_er_1d,du_er_1m,du_er_1y,du_er_3m,du_er_6m,du_er_ytd,du_hpr,du_last_aum,du_last_nav,du_lpr,du_nav_rnf_amt,du_nav_yday,du_upt_dt,du_val_1d,du_val_1m,du_val_5d,du_vol_1d,du_vol_avg_1m,du_vol_avg_5d,nru_mkt_diff_rt,nru_mkt_inav,pd_abrv_nm,pd_circ_net_tamt,pd_circ_stk_cnt,pd_curr_cd,pd_curr_nm,pd_dvid_cycl,pd_exg_mkt_cd,pd_exg_mkt_nm,pd_grp_no,pd_itm_no,pd_itm_no_ma,pd_lst_stk_cnt,pd_lste_dt,pd_lstg_dt,pd_mkt_id,pd_mkt_nm,pd_nav_pshr,pd_net_tamt,pd_nm,pd_pen_risk_nm,pd_pen_tr_yn,pd_risk_cd,pd_risk_nm,pd_sale_yn,pd_sect_cd,pd_sect_nm,pd_spac_yn,pd_stk_cnt,pd_tr_yn,ru_mkt_price,ru_mkt_volume,wu_core_yn,wu_inv_ast_type,wu_inv_rgn,wu_upt_dt,risk_grade,risk_available,instrument_type,expense_ratio_available,region_std,region_mapping_status,asset_class_std,asset_class_mapping_status,as_of_date,source_table,fee_krx_pct,base_index_krx,asset_class_krx,fee_conflict,expense_ratio_filled,expense_ratio_source,base_index_filled,base_index_source
,,삼성,1.0,액티브,20260615.0,9750.0,9765.0,0.15,0.46,,-1.71,-2.64,-3.12,9780.0,179229445400.0,9751.33,9765.0,-9751.33,9751.33,2026-06-15 00:00:00,1455929226.0,1272633264.75,932930407.8,148986.0,130885.05,95770.2,,,KODEX 미국10년국채액티브(H),0.0,18380000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70091C0000,A0091C0,18330000.0,99991231.0,20250819.0,STK,유가증권,9751.33,178741901329.0,삼성 KODEX 미국10년국채액티브증권상장지수투자신탁[채권-재간접형](H),안전자산,Y,PD_RISK_GCD_15,낮은위험(5등급),1,2.0,,N,18380000.0,0.0,,,N,채권,미국,20260615.0,5.0,True,ETF,False,US,mapped,BOND,mapped,2026-07-11,PREF01N001,0.15,KAP 미국 국채 10년 지수(총수익),채권,False,0.15,external_krx_20260806,KAP 미국 국채 10년 지수(총수익),external_krx_20260806
종합채권 3개월~1년,,삼성,,액티브,,10990.0,10990.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,KODEX 25-11 회사채(A+이상)액티브,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7467940003,A467940,10430000.0,20251114.0,20231011.0,STK,유가증권,,,삼성 KODEX 25-11 회사채(A+이상)액티브증권상장지수투자신탁[채권],N,N,PD_RISK_GCD_15,낮은위험(5등급),0,,,,,1.0,,,N,채권,국내,20260615.0,5.0,True,ETF,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,,,,False,,,종합채권 3개월~1년,provided
,,미래에셋,2.0,합성복제,20260615.0,49020.0,51235.0,4.52,7.34,120.22,51.81,43.35,48.4,53000.0,485008681000.0,49239.46,50285.0,-49239.46,49239.46,2026-06-15 00:00:00,22876508101.0,17101960767.7,23133548679.2,449681.0,345035.1,473671.2,,,TIGER 미국나스닥100레버리지(합성),482847000000.0,9850000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7418660007,A418660,10100000.0,99991231.0,20220222.0,STK,유가증권,49239.46,489932653028.0,미래에셋 TIGER 미국나스닥100레버리지증권상장지수투자신탁(주식혼합-파생형)(합성),N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,9950000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.25,NASDAQ 100,주식,False,0.25,external_krx_20260806,NASDAQ 100,external_krx_20260806
,,현대,1.0,액티브,20260615.0,7345.0,7280.0,-0.88,-26.94,-2.93,-46.51,-41.95,-38.9,7385.0,3289023000.0,7308.94,7195.0,-7308.94,7308.94,2026-06-15 00:00:00,6524415.0,22251467.1,3354156.0,888.0,2484.1,461.2,,,UNICORN 포스트IPO액티브,0.0,450000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7476000005,A476000,450000.0,99991231.0,20240227.0,STK,유가증권,7308.94,3289021059.0,현대 UNICORN 포스트IPO액티브증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,450000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.5,iSelect 포스트 IPO 지수,주식,False,0.5,external_krx_20260806,iSelect 포스트 IPO 지수,external_krx_20260806
,,미래에셋TIGER우량회사채액티브증권상장지수투자신탁(채권),1.0,액티브,20260615.0,114780.0,114905.0,0.11,0.38,-1.82,-0.25,-0.61,-0.58,115035.0,565115973000.0,114744.36,114885.0,-114744.36,114744.36,2026-06-15 00:00:00,2106157604.0,2407067827.4,1970936335.0,18323.0,21004.0,17195.8,,,TIGER 우량회사채액티브,565291500000.0,4925000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7438330003,A438330,4905000.0,99991231.0,20220823.0,STK,유가증권,114744.36,562821067228.0,미래에셋TIGER우량회사채액티브증권상장지수투자신탁(채권),안전자산,Y,PD_RISK_GCD_15,낮은위험(5등급),1,2.0,,N,4905000.0,0.0,,,N,채권,국내,20260615.0,5.0,True,ETF,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,0.1,KIS 투자등급회사채 지수(총수익),채권,False,0.1,external_krx_20260806,KIS 투자등급회사채 지수(총수익),external_krx_20260806
,,삼성액티브,1.0,액티브,20260615.0,13100.0,13410.0,2.37,4.48,,20.16,28.69,29.25,13590.0,140558722500.0,13075.23,13200.0,-13075.23,13075.23,2026-06-15 00:00:00,3203370807.0,4190738051.45,2900730132.0,238905.0,318192.35,221516.4,,,KoAct 미국나스닥채권혼합50액티브,0.0,10750000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR70104H0000,A0104H0,10800000.0,99991231.0,20250930.0,STK,유가증권,13075.23,140558730776.0,삼성액티브 KoAct 미국나스닥채권혼합50액티브증권상장지수투자신탁[채권혼합],안전자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,10750000.0,0.0,,,N,혼합자산,미국,20260615.0,4.0,True,ETF,False,US,mapped,MIXED,mapped,2026-07-11,PREF01N001,0.25,FnGuide 미국나스닥 금융채권혼합 지수,혼합자산,False,0.25,external_krx_20260806,FnGuide 미국나스닥 금융채권혼합 지수,external_krx_20260806
,,KB,1.0,실물복제,20260615.0,84455.0,88345.0,4.61,13.21,190.47,54.71,108.04,101.54,89275.0,,84247.29,87250.0,-84247.29,84247.29,2026-06-15 00:00:00,2887344371.0,2535023624.5,3023975107.4,32636.0,30576.3,35924.0,,,RISE 코스피,274478750000.0,3250000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7302450002,A302450,3250000.0,99991231.0,20180724.0,STK,유가증권,84247.29,273803691231.0,KB RISE 코스피증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,3250000.0,0.0,,,Y,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.02,코스피,주식,False,0.02,external_krx_20260806,코스피,external_krx_20260806
,,미래에셋증권 주식회사,1.0,C,20260615.0,14555.0,14245.0,-2.13,8.16,65.64,6.86,18.31,17.24,14325.0,0.0,14309.35,14245.0,-206.97,14516.32,2026-06-15 00:00:00,471400.0,2122008.25,1553835.0,33.0,152.7,107.8,,,미래에셋 미국 제약 TOP3 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG520000784,Q520078,3000000.0,99991231.0,20240920.0,STK,유가증권,14309.35,43548960000.0,미래에셋증권 미래에셋 미국 제약 TOP3 ETN 상장지수증권 제93호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,3000000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,BNK,1.0,액티브,20260615.0,33910.0,35670.0,5.19,5.04,118.97,30.56,62.77,59.06,35805.0,,34127.02,35360.0,-34127.02,34127.02,2026-06-15 00:00:00,7604515.0,41025124.25,8423783.0,214.0,1235.55,248.4,,,BNK 주주가치액티브,0.0,650000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7445690001,A445690,650000.0,99991231.0,20221027.0,STK,유가증권,34127.02,22182561193.0,BNK BNK 주주가치액티브증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,650000.0,0.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.495,FnGuide 주주가치 지수,주식,False,0.495,external_krx_20260806,FnGuide 주주가치 지수,external_krx_20260806
,,한국투자증권(주),-2.0,C,20260615.0,4530.0,4255.0,-6.07,-7.3,-43.79,-35.09,-29.32,-26.51,4330.0,0.0,4444.11,4245.0,-77.95,4522.06,2026-06-15 00:00:00,137874090.0,119817848.05,157705711.0,32364.0,26082.6,34059.0,,,한투 인버스2X나스닥100 ETN B,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG570001039,Q570103,10000000.0,99991231.0,20240628.0,STK,유가증권,4444.11,45220600000.0,한국투자증권 한투 인버스2X나스닥100 상장지수증권 B 제103호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,10000000.0,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,메리츠증권 주식회사,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,메리츠 레버리지 인플레이션 국채 ETN,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG610000025,Q610002,2000000.0,20250225.0,20210617.0,STK,유가증권,,,메리츠증권 메리츠 레버리지 인플레이션 국채 상장지수증권 제2호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,0.0,,,N,채권,국내,20260615.0,1.0,True,ETN,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,,,,False,,,,
,0.0,미래에셋TIGER로우볼증권상장지수투자신탁(주식),1.0,실물복제,20260615.0,20645.0,20895.0,1.21,0.17,35.42,4.55,15.51,16.63,21495.0,11259853200.0,20851.58,20895.0,-20851.58,20851.58,2026-06-15 00:00:00,2218834735.0,400239140.1,493894184.0,104776.0,19377.5,23435.6,,,TIGER 로우볼,11148300000.0,540000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7174350009,A174350,540000.0,99991231.0,20130620.0,STK,유가증권,20851.58,11259851357.0,미래에셋TIGER로우볼증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_13,다소높은위험(3등급),1,2.0,,N,540000.0,0.0,,,N,주식,아시아,20260615.0,3.0,True,ETF,True,ASIA_OTHER,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.4,FnGuide Low Vol 지수,주식,True,0.0,provided,FnGuide Low Vol 지수,external_krx_20260806
,,키움증권(주),1.0,C,20260615.0,7430.0,8325.0,12.05,-10.39,-30.36,-24.8,-24.8,-31.9,8325.0,0.0,8310.11,8245.0,-163.65,8473.76,2026-06-15 00:00:00,2569185.0,2414716.5,8229775.0,309.0,309.05,1063.8,,,키움 KPOP ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG760000064,Q760006,1000000.0,99991231.0,20231018.0,STK,유가증권,8310.11,8473760000.0,키움증권 키움 KPOP 상장지수증권 제6호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETN,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성증권(주),1.0,C,20260615.0,40130.0,42305.0,5.42,17.03,256.25,68.08,138.81,126.05,42585.0,0.0,42246.14,40245.0,2141.13,40105.01,2026-06-15 00:00:00,3134244054.0,6754491812.55,11211061234.6,74226.0,173527.2,288958.6,,,삼성 코스피 200 TR ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG530001178,Q530117,1000000.0,99991231.0,20231219.0,STK,유가증권,42246.14,40105010000.0,삼성증권 삼성 코스피 200 TR 상장지수증권 제117호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETN,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,키움증권(주),-2.0,C,20260615.0,3180.0,3160.0,-0.63,-39.87,,-76.75,,,3185.0,0.0,3143.15,3010.0,-24.12,3167.27,2026-06-15 00:00:00,1161252965.0,1935303572.95,1764942362.6,377354.0,431124.1,467760.0,,,키움 인버스 2X 반도체TOP10 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG760000288,Q760028,1500000.0,99991231.0,20260224.0,STK,유가증권,3143.15,4750905000.0,키움증권 키움 인버스 2X 반도체TOP10 상장지수증권 제28호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1500000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETN,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,삼성,1.0,액티브,20260615.0,18335.0,18525.0,1.04,1.26,30.23,12.65,12.99,14.04,18595.0,630427570000.0,18220.45,18400.0,-18220.45,18220.45,2026-06-15 00:00:00,4269338401.0,5315184796.55,3434481220.8,230954.0,289138.3,188333.6,,,KODEX TDF2050액티브 적격,0.0,34600000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7434060000,A434060,34650000.0,99991231.0,20220630.0,STK,유가증권,18220.45,630427701200.0,삼성 KODEX 적격 TDF2050액티브증권상장지수투자신탁[주식혼합-재간접형],안전자산,Y,PD_RISK_GCD_13,다소높은위험(3등급),1,2.0,,N,34600000.0,0.0,,,N,혼합자산,국내,20260615.0,3.0,True,ETF,False,KR,mapped,MIXED,mapped,2026-07-11,PREF01N001,0.3,Samsung Korea Target Date 2050 Index (Price Return),혼합자산,False,0.3,external_krx_20260806,Samsung Korea Target Date 2050 Index (Price Return),external_krx_20260806
,,메리츠증권 주식회사,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,메리츠 인버스 2X 국채5년 ETN,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG610000520,Q610052,1000000.0,20250116.0,20221031.0,STK,유가증권,,,메리츠증권 메리츠 인버스 2X 국채5년 상장지수증권 제52호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,0.0,,,N,채권,국내,20260615.0,1.0,True,ETN,False,KR,mapped,BOND,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,미래에셋증권 주식회사,,,,4155.0,4155.0,0.0,0.0,18.38,0.0,4.01,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,미래에셋 인버스 원유선물혼합 ETN(H),,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG522100111,Q520011,1000000.0,20251218.0,20160421.0,STK,유가증권,,,미래에셋증권 미래에셋 인버스 원유선물혼합 파생결합증권(상장지수증권)(H) 제11호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,엔에이치투자증권(주),,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,N2 US 500 월간레버리지 ETN(H),,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG550000761,Q550076,500000.0,20250318.0,20221128.0,STK,유가증권,,,NH투자증권 N2 US Leader 500 월간레버리지 상장지수증권(H) 제76호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,0.0,,,N,주식,미국,20260615.0,1.0,True,ETN,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,KB,1.0,실물복제,20260615.0,76485.0,83315.0,8.93,41.01,655.35,158.86,282.53,268.08,83315.0,1036715912500.0,77079.25,81200.0,-77079.25,77079.25,2026-06-15 00:00:00,102786463368.0,151098580887.4,114465640371.2,1248358.0,2020752.0,1452092.0,,,RISE 네트워크인프라,1028723250000.0,13450000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7367760006,A367760,13850000.0,99991231.0,20201029.0,STK,유가증권,77079.25,1055985789749.0,KB RISE 네트워크인프라증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,13700000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.45,FnGuide 네트워크 인프라 지수,주식,False,0.45,external_krx_20260806,FnGuide 네트워크 인프라 지수,external_krx_20260806
,,KB,1.0,액티브,20260615.0,13390.0,13330.0,-0.45,1.18,12.82,1.91,1.64,5.71,13370.0,29448540000.0,13385.7,13280.0,-13385.7,13385.7,2026-06-15 00:00:00,453558537.0,311758921.5,257582788.4,34008.0,23439.8,19268.0,,,RISE 미국단기투자등급회사채액티브,29458000000.0,2200000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7437350002,A437350,2200000.0,99991231.0,20220729.0,STK,유가증권,13385.7,29448535253.0,KB RISE 미국단기투자등급회사채액티브증권상장지수투자신탁(채권),안전자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2.0,,N,2200000.0,0.0,,,N,채권,미국,20260615.0,4.0,True,ETF,False,US,mapped,BOND,mapped,2026-07-11,PREF01N001,0.1,Bloomberg US Corporate 1-5 Years Total Return Index,채권,False,0.1,external_krx_20260806,Bloomberg US Corporate 1-5 Years Total Return Index,external_krx_20260806
,,삼성증권(주),2.0,C,20260615.0,48445.0,42600.0,-12.07,-33.71,63.53,-19.07,118.46,120.1,42905.0,0.0,42266.46,41845.0,-8157.48,50423.94,2026-06-15 00:00:00,575915015.0,882772771.6,654336876.0,13579.0,15467.35,12929.8,,,삼성 블룸버그 레버리지 WTI원유선물 ETN B,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG530001335,Q530133,1000000.0,99991231.0,20250417.0,STK,유가증권,42266.46,50423940000.0,삼성증권 삼성 블룸버그 레버리지 WTI원유 선물 상장지수증권 B 제133호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,0.0,미래에셋TIGER차이나CSI300인버스증권상장지수투자신탁(채권혼합-파생형)(합성),-1.0,합성복제,20260615.0,4830.0,4800.0,-0.62,-1.13,-36.59,-7.69,-17.74,-14.59,5075.0,7732810500.0,4988.91,4745.0,-4988.91,4988.91,2026-06-15 00:00:00,1132045.0,6153437.75,13067831.0,235.0,1279.75,2699.8,,,TIGER 차이나CSI300인버스(합성),7486500000.0,1550000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7217780006,A217780,1550000.0,99991231.0,20150610.0,STK,유가증권,4988.91,7732806919.0,미래에셋TIGER차이나CSI300인버스증권상장지수투자신탁(채권혼합-파생형)(합성),N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,1550000.0,0.0,,,N,주식,아시아,20260615.0,1.0,True,ETF,True,ASIA_OTHER,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.58,CSI 300 Index,주식,True,0.0,provided,CSI 300 Index,external_krx_20260806
,,키움증권(주),-2.0,C,20260615.0,7710.0,6910.0,-10.38,-3.09,,-3.63,-64.74,-61.83,7710.0,0.0,6895.94,6665.0,-771.82,7667.76,2026-06-15 00:00:00,460391630.0,243966725.2,215132114.0,64838.0,32745.2,27417.6,,,키움 인버스 2X K방산 TOP5 ETN,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG760000247,Q760024,500000.0,99991231.0,20251027.0,STK,유가증권,6895.94,3833880000.0,키움증권 키움 인버스 2X K방산 TOP5 상장지수증권 제24호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,500000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETN,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,신한투자증권 주식회사,2.0,C,20260615.0,24075.0,26210.0,8.87,-22.57,102.16,-35.24,-25.3,-44.16,26695.0,0.0,26187.24,25525.0,4341.14,21846.1,2026-06-15 00:00:00,537040503.0,742334584.95,482658011.0,20371.0,25150.0,20402.6,,,신한 레버리지 은 선물 ETN(H),0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG502400291,Q500029,10000000.0,99991231.0,20170915.0,STK,유가증권,26187.24,218461000000.0,신한투자증권 신한 레버리지 은 선물 상장지수증권(H) 제29호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,10000000.0,0.0,,,N,원자재,국내,20260615.0,1.0,True,ETN,False,KR,mapped,COMMODITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,0.4,삼성KODEX레버리지증권상장지수투자신탁[주식-파생형],2.0,실물복제,20260615.0,182370.0,203030.0,11.33,30.99,905.6,154.66,372.11,324.88,207190.0,9619402275000.0,183226.71,199970.0,-183226.71,183226.71,2026-06-15 00:00:00,2270989010395.0,3068646617382.65,2649650947844.6,11126189.0,17160204.6,14785536.8,,,KODEX 레버리지,0.0,52500000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7122630007,A122630,52650000.0,99991231.0,20100222.0,STK,유가증권,183226.71,9619402383329.0,삼성KODEX레버리지증권상장지수투자신탁[주식-파생형],N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,52500000.0,0.0,,,N,주식,국내,20260615.0,1.0,True,ETF,True,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.64,코스피 200,주식,True,0.4,provided,코스피 200,external_krx_20260806
,,미래에셋TIGER미국테크TOP10타겟커버드콜증권상장지수투자신탁(주식-파생형),1.0,실물복제,20260615.0,15800.0,15885.0,0.54,-5.05,26.32,4.89,-0.84,0.03,15910.0,464437102000.0,15770.36,15755.0,-15770.36,15770.36,2026-06-15 00:00:00,4961402499.0,5278507571.95,3458484246.4,313385.0,317492.75,216984.0,,,TIGER 미국테크TOP10타겟커버드콜,465310000000.0,29450000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7474220001,A474220,29450000.0,99991231.0,20240116.0,STK,유가증권,15770.36,464437091359.0,미래에셋TIGER미국테크TOP10타겟커버드콜증권상장지수투자신탁(주식-파생형),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2.0,,N,29450000.0,0.0,,,N,주식,미국,20260615.0,2.0,True,ETF,False,US,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.5,Bloomberg U.S. Tech Top10+10% Premium Covered Call Index,주식,False,0.5,external_krx_20260806,Bloomberg U.S. Tech Top10+10% Premium Covered Call Index,external_krx_20260806
,,엔에이치투자증권(주),,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,N2 월간 레버리지 코스닥 150 선물 ETN,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG550000902,Q550090,1000000.0,20250612.0,20240430.0,STK,유가증권,,,NH투자증권 N2 월간 레버리지 코스닥 150 선물 상장지수증권 제90호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),0,,,,,0.0,,,N,주식,국내,20260615.0,1.0,True,ETN,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
,,한국투자,1.0,실물복제,20260615.0,18160.0,18500.0,1.87,-2.89,47.18,-7.73,16.13,18.74,19000.0,165817080000.0,18424.12,18280.0,-18424.12,18424.12,2026-06-15 00:00:00,4587133000.0,9696526435.9,7193332689.2,247333.0,523262.0,410615.6,,,ACE 코스닥150,0.0,9000000.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7354500001,A354500,9000000.0,99991231.0,20200507.0,STK,유가증권,18424.12,165817078384.0,한국투자 ACE 코스닥150증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2.0,,N,9000000.0,0.0,,,Y,주식,국내,20260615.0,1.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,0.02,코스닥 150,주식,False,0.02,external_krx_20260806,코스닥 150,external_krx_20260806
,,삼성증권(주),-2.0,C,20260615.0,6370.0,6260.0,-1.73,4.68,-0.95,3.3,21.44,24.21,6370.0,0.0,6240.78,6150.0,-146.91,6387.69,2026-06-15 00:00:00,83648520.0,97699941.6,46328761.4,13422.0,16732.8,7359.2,,,삼성 인버스 2X 항셍테크 TR ETN(H) B,0.0,0.0,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETN,KRG530001228,Q530122,1000000.0,99991231.0,20240625.0,STK,유가증권,6240.78,6387690000.0,삼성증권 삼성 인버스 2X 항셍테크 TR 상장지수증권(H) B 제122호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3.0,,N,1000000.0,0.0,,,N,주식,중국,20260615.0,1.0,True,ETN,False,CHINA,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,,
KOSPI200,,NH-Amundi,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,HANARO K-메디테크,,,CURR_CD_KRW,한국원화,,EXG_MKT_NO_001,유가증권,ETF,KR7473380004,A473380,300000.0,20250326.0,20231221.0,STK,유가증권,,,NH-Amundi HANARO K-메디테크 증권상장지수투자신탁(주식),N,N,PD_RISK_GCD_12,높은위험(2등급),0,,,,,1.0,,,N,주식,국내,20260615.0,2.0,True,ETF,False,KR,mapped,EQUITY,mapped,2026-07-11,PREF01N001,,,,False,,,KOSPI200,provided
