itm_no,prfd_attr_cd
KR5114450368,G115
KR5153480047,M111
KR5113490235,C101
KR5113459011,C103
KR518104073M,C101
KR5123490104,D102
KR513404007M,S107
KR5123490074,V102
KR5153450305,G118
KR5142490067,M120
KR5129420032,C103
KR5114490155,F103
KR5144492082,C101
KR5129450026,D106
KR5147450058,C101
KR5111430021,V101
KR5123490058,V102
KR5144490093,G115
KR5149430018,D102
KR5139450021,M111
KR515009094M,G118
KR5110450033,M109
KR510902584M,D102
KR5113450034,V101
KR512Q450007,D102
KR517609038M,W109
KR5153460017,C101
KR510909108M,C103
KR5114470019,W101
KR5114490458,C103
KR518105044M,C103
KR5170420031,M120
KR5117450013,M109
KR5153480016,M111
KR5144450080,V102
KR5133651006,D102
KR5114440065,M111
KR5157450150,C103
KR5129490097,C101
KR5117490171,P102
KR5117490128,M106
KR5119450147,G102
KR510902576M,W102
KR5181490040,D102
KR510909130M,G110
KR5131450148,D106
KR5149490059,T245
KR5125490009,V102
KR5153400059,N177
KR512502002M,M111
KR5185490017,S119
KR5114490080,C101
KR5148550021,M112
KR5153491007,F103
KR5138490113,W101
KR5181490139,M111
KR5153490422,C101
KR5153450086,C101
KR5114490153,M109
KR5153450834,D102
KR5187450040,C101
KR511502044M,V102
KR5153470237,M111
KR5113420028,C101
KR518105008M,M112
KR5144450051,C101
KR5113490023,M111
KR5139430030,R107
KR5181490111,C103
KR5153490546,F101
KR5127651025,M109
KR517602028M,RUS
KR5142420021,M109
KR5129440014,S101
KR5147430020,C103
KR517509048M,C101
KR515009112M,M112
KR5127450439,F103
KR5117420097,G115
KR5117490451,D102
KR510909009M,M111
KR5134490075,F103
KR5147450086,G118
KR5153450202,V101
KR513502173M,C101
KR512002014M,M111
KR510902635M,N116
KR512509017M,C101
KR517509070M,W101
KR5311791011,V101
KR5119450068,M111
KR5133450058,D102
KR5127450005,C103
KR5148490078,M109
KR5153490536,M111
KR5120420090,M111
KR5131450049,N122
KR5153470080,M111
KR5120491001,F103
KR5153490533,V103
KR515009120M,M111
KR5129450176,C101
KR510902219M,D105
KR512102032M,C101
KR5131490043,D102
KR5149651006,C101
KR5172450129,D102
KR5113490093,M111
KR5151450045,M109
KR5139450048,W104
KR513704003M,M111
KR5127651015,G118
KR510909065M,M109
KR5174450160,D106
KR5148420111,V102
KR5117430001,C103
KR5129490121,F103
KR5111450056,M111
KR5127450317,C103
KR5114450290,N167
KR5174450025,M109
KR510904028M,CHN
KR512014504M,C102
KR518101011M,D102
KR5174530026,V101
KR5113490218,D102
KR510902201M,D105
KR510902511M,D102
KR5144430010,C101
KR5113420081,D106
KR515306010M,V101
KR5134490046,V103
KR5153490601,W109
KR510902105M,V103
KR5152430103,G115
KR5116490002,W108
KR5161430009,R105
KR5139601011,G118
KR510902019M,V101
KR5127420115,C101
KR5147490023,C101
KR5123761004,N114
KR511302006M,C103
KR5113490029,M109
KR5148450012,C101
KR5118201006,M111
KR5120420093,D102
KR5148800017,C101
KR5153430059,D102
KR5110490063,D106
KR5117490113,C101
KR5114430009,S104
KR5116450024,M109
KR5153490801,F103
KR511L430010,D106
KR510506031M,C101
KR5127450115,V101
KR5114470051,S117
KR5123420042,C103
KR518104016M,C103
KR5114450122,M109
KR5010251162,D102
KR5114490103,N142
KR5116450021,M109
KR5117651018,C101
KR5127490293,C103
KR5120470041,V101
KR5010151351,C103
KR5153450927,P101
KR511L430013,M111
KR5117490105,D106
KR5113459001,N142
KR5153450320,V101
KR510909130M,D102
KR5153450590,G118
KR5148470040,V102
KR5147490023,V103
KR5181450041,V102
KR5137470014,W101
KR5127440020,M109
KR510901124M,M111
KR5131440010,C102
KR5127470085,VNM
KR5180490004,D102
KR5187450051,F103
KR5153450887,D102
KR5153451008,M111
KR512809025M,V101
KR5137470018,C101
KR5114490252,V102
KR5010101502,D102
KR5153450319,C101
KR5123490029,D102
KR5010201023,D102
KR5185490091,D106
KR5174450002,C101
KR5153450226,G118
KR510906195M,V102
KR5110470013,W101
KR5153470119,G110
KR5131490027,M111
KR5153530051,F103
KR5157450070,V101
KR5153400025,G110
KR5153651024,D102
KR5125450070,F103
KR518102013M,D102
KR5111470008,V101
KR5114450612,C103
KR5143450014,V103
KR5144492191,M111
KR5153480027,F103
KR5153490657,C101
KR5153490545,W102
KR510909229M,D102
KR5181450000,G118
KR5147490002,C101
KR5153460010,W101
KR512509033M,G118
KR5113490001,V102
KR5157480032,W101
KR5153450344,V102
KR5178490015,G115
KR5182490061,M111
KR513706014M,M101
KR513511014M,V102
KR5123490102,T245
KR5114490113,M109
KR5114450587,W104
KR510902665M,C103
KR5153490619,C103
KR518104109M,C103
KR5174550021,P101
KR511502036M,M111
KR5127420080,M109
KR5114490139,F103
KR5020251106,C101
KR5153450843,M109
KR511602003M,S116
KR5153490568,D106
KR5134400017,V102
KR5153450462,P103
KR5148490061,M112
KR5152450041,C101
KR5116470042,C101
KR5113490238,W104
KR5113600032,S120
KR5127450113,M111
KR513506106M,D102
KR5159420008,G115
KR5153450782,V101
KR5144450078,D102
KR5120420037,M109
KR5178490017,C103
KR5123490125,S121
KR510509004M,M112
KR5157480014,D102
KR5153490418,M112
KR510902325M,N115
KR5153450102,M109
KR5120420087,V101
KR5075410020,D102
KR5153480044,S119
KR5114470137,C103
KR5124450033,D102
KR5114550010,C103
KR5148450040,C101
KR510906113M,CHN
KR5182490099,M112
KR5181490094,D106
KR5137470137,F101
KR5153490450,T230
KR5110490079,C103
KR5148490148,C103
KR5142450061,C101
KR5131410001,C103
KR5170651118,C103
KR511X450001,M111
KR513102161M,M111
KR511X490001,D102
KR5123450053,M111
KR5153450909,M109
KR5127490331,M109
KR518101011M,M109
KR5114450538,N134
KR5153420263,M109
KR517609012M,D102
KR5114450203,S104
KR5133420058,D102
KR5113490038,W101
KR5129450152,W101
KR5144420091,V101
KR5110601033,D102
KR5123450035,D102
KR513702039M,V101
KR5127450427,P103
KR5117490155,S121
KR510906128M,M109
KR5144450091,V101
KR5114490085,M106
KR5120450013,V101
KR5151450088,V102
KR5159651027,C101
KR5127470077,M109
KR5131450150,N130
KR5149450084,M109
KR5127490330,D102
KR5129490089,F103
KR5114520010,C101
KR5153450751,F103
KR5113490227,W101
KR5151450095,G118
KR5114470148,C101
KR517309002M,M120
KR5053410048,E102
KR5153451114,C103
KR511703005M,M109
KR5134490059,T230
KR5125450023,P101
KR5153430013,M111
KR5133470013,V103
KR5137450073,D102
KR5182490107,D102
KR5147490032,N177
KR5133450036,C103
KR5132430064,V101
KR5110420016,D102
KR5170651115,V101
KR5127490299,M106
KR517609076M,D102
KR5120450011,D102
KR5148490097,V102
KR5148450027,W101
KR5153450246,D106
KR5114490183,C103
KR5181490171,M112
KR5153450651,C101
KR5556450028,M111
KR5110490001,M112
KR510902439M,C103
KR510302049M,M109
KR5181490114,V102
KR5127450025,V102
KR5171490004,C102
KR510903037M,V103
KR5156450055,G115
KR5134420001,V102
KR5117472004,G110
KR5113490092,T250
KR5114499999,G115
KR5129490060,M109
KR5181490129,G115
KR5153451137,D102
KR5110651013,W101
KR513502179M,D102
KR518102009M,M107
KR5152430096,R105
KR5127420021,M111
KR510902617M,CHN
KR5153450783,V101
KR5114490035,C103
KR5153420230,F103
KR510902838M,V102
KR5117430314,N142
KR5153490138,D102
KR5153450532,D102
KR5114450095,D102
KR5153450829,W122
KR5187450041,N147
KR5182490015,D106
KR5127450261,M109
KR5113490129,D106
KR5114450221,M109
KR5148800018,D102
KR5113450188,P102
KR5113450182,M111
KR5151440010,M109
KR5144420080,C103
KR510902304M,C103
KR5134440020,C101
KR5114450357,P104
KR5144492102,C101
KR5153490721,M111
KR510902641M,C103
KR5144450094,G115
KR5135450022,M111
KR5117490187,C103
KR5176450026,D106
KR5153430191,D102
KR5144450117,M111
KR5110450040,V101
KR510903117M,V102
KR5117651023,V102
KR5153450190,C101
KR5114450023,D106
KR5127490165,D102
KR5144490093,M109
KR5153450658,C101
KR5153450043,M109
KR5138490040,D102
KR5133450036,V102
KR5153530011,G115
KR511703005M,C101
KR5110651021,M111
KR5113490148,T260
KR5557450020,M111
KR5138490083,M109
KR5116470031,M112
KR5127450026,CHN
KR5172450094,V102
KR5129450010,M111
KR5153450396,C103
KR5187450131,N147
KR510506041M,M111
KR5114450461,JPN
KR5149490059,D106
KR5172450123,C101
KR5113440020,C103
KR5187550010,V102
KR5113450511,V102
KR5131450181,V101
KR5114490056,G110
KR5114490429,M111
KR514804012M,C101
KR5113490126,M111
KR5125550012,D106
KR5123530021,C101
KR5187450105,D106
KR5142450035,C103
KR510903074M,M101
KR5123530010,M109
KR5114800006,M111
KR5129450047,M111
KR5178490005,F103
KR5110601023,M111
KR5120920055,M111
KR5148490136,V102
KR5152420050,G110
KR5117651011,C101
KR518101005M,M109
KR5114450388,F103
KR511502004M,C103
KR5153470260,G115
KR511702034M,D102
KR5027101404,D102
KR5127490304,D106
KR512102041M,V102
KR5127420072,D102
KR5131490071,D102
KR5117490001,C101
KR5114450126,D102
KR5144490065,M111
KR5120430001,F103
KR5134490085,N177
KR5153450036,O132
KR5131450108,F103
KR510909155M,C101
KR5557450010,C101
KR512009009M,M109
KR5131510010,D102
KR5117490158,C101
KR5114450242,M111
KR5139450025,V101
KR5138450021,C103
KR5181490010,C101
KR5147430020,V101
KR5148450018,M109
KR5117420045,V101
KR5172420027,D106
KR510909055M,C103
KR5153420036,V103
KR5123450043,M109
KR510902521M,C101
KR5153490441,M111
KR5144490044,G115
KR5117450084,F103
KR513502015M,CHN
KR5138490005,M111
KR5153480056,D102
KR5013101461,C101
KR510902673M,C101
KR5153540020,V101
KR5153450269,F103
KR518104105M,M109
KR5110601003,C103
KR510906128M,W101
KR5144470021,D102
KR5181450017,G118
KR5151430054,G110
KR5113600012,C103
KR5117490055,V102
KR5153440078,P101
KR510902143M,V103
KR513509015M,V102
KR5117490155,C101
KR5117450034,V102
KR5117430090,D102
KR5153420260,C103
KR5147430072,V103
KR511009014M,M111
KR5114440066,D102
KR5127490193,M111
KR5114450302,M111
KR5131450106,C101
KR5137470017,D102
KR5153421000,C101
KR5148490058,G110
KR512292401M,R110
KR510902636M,V102
KR5118430034,C103
KR5148420120,C101
KR5181490053,D102
KR511102070M,V102
KR5110490003,C103
KR510902109M,C101
KR5113458002,M111
KR5147450051,G118
KR5145440012,C103
KR5149490087,V102
KR5118490033,D106
KR5157450078,M111
KR5137450053,V101
KR5113450514,G115
KR5138490067,F103
KR5137470092,M109
KR5114450362,F101
KR5127530011,C101
KR513504009M,D102
KR5157450079,D102
KR5114601027,D102
KR5118420037,M109
KR5131450100,W122
KR5127450113,C101
KR5138490200,D102
KR5182490157,C101
KR5147450013,M111
KR5144450117,D102
KR5145450027,N135
KR5153400017,M109
KR5153430218,M109
KR5157450022,V101
KR5039410031,D102
KR510902790M,M111
KR5123365001,D102
KR5117450088,C101
KR510902476M,V101
KR5119450114,W122
KR5129450010,P101
KR510902617M,D102
KR513002036M,D106
KR5114490483,W101
KR5114470046,D102
KR5118490010,V103
KR5153430081,C101
KR5144490062,W101
KR5114490035,C101
KR5114490122,C103
KR5111450023,P103
KR513502158M,V101
KR5144490054,M111
KR5114420068,D102
KR512306001M,S103
KR5182490084,V102
KR5147490015,M109
KR5113490076,F103
KR5144490085,M106
KR5153450278,F101
KR5117490300,N167
KR5123490011,M109
KR5178450026,V101
KR5170420011,D102
KR513304025M,C101
KR510909065M,M112
KR5137470142,M109
KR5131530040,C101
KR510902988M,C103
KR5156490029,D106
KR5114490035,M112
KR510102033M,G118
KR5148490139,M112
KR510902914M,N135
KR5113490282,M111
KR5116490000,D102
KR5114490328,C103
KR5117651011,W120
KR510904146M,S108
KR5153490435,N177
KR5120450026,M109
KR5111601005,C101
KR5116450056,M111
KR5139450024,C103
KR5114470156,C103
KR5153450602,M111
KR5127470081,M111
KR5172450100,P103
KR517302033M,M111
KR5153650001,V101
KR5129450131,C101
KR5114490102,V102
KR5187450047,C101
KR5153450667,P101
KR510902678M,M111
KR5153450813,D102
KR5114450344,G118
KR5110450141,M109
KR510102004M,D105
KR510509007M,G110
KR5131450044,N122
KR517509066M,C101
KR5119450167,F106
KR510904135M,M111
KR5127450293,F103
KR5114950015,N101
KR5113450507,C101
KR5172450090,V102
KR5153490710,M111
KR5144420093,D102
KR5119450060,W111
KR5146450010,D102
KR511102056M,C101
KR5124450041,CHN
KR5117490126,M106
KR5120490053,M106
KR5157450047,C101
KR5174430038,P101
KR5148420141,M109
KR5182490136,P103
KR5113490017,C101
KR5157450049,V101
KR5172490049,W101
KR510902059M,W107
KR5153450388,USA
KR510909233M,C101
KR510902078M,C101
KR5120530046,D106
KR5110450051,V101
KR5114490199,M112
KR5157420004,C103
KR5125490027,M106
KR5114450509,USA
KR5114450299,F103
KR513509058M,M109
KR5127450190,M109
KR5156450051,C103
KR5144450098,D102
KR510904085M,V103
KR5123450036,M109
KR5113490066,C103
KR5131490050,G115
KR5120420056,V101
KR5157450073,C101
KR5181490227,M111
KR518104012M,C101
KR5129530010,W101
KR5172450126,M109
KR5114450599,F103
KR5172470008,M111
KR5123490072,D102
KR5120450053,C103
KR5132450016,M111
KR5153601011,V101
KR5127430039,M111
KR5110450201,M109
KR5123450080,M111
KR5127490277,V102
KR5120450059,C103
KR5153451116,D101
KR5151450042,M109
KR5138450041,N109
KR5010201125,V101
KR5153450202,N156
KR5120490052,F103
KR510903090M,D102
KR5153450270,M109
KR512301005M,V101
KR5129420026,F103
KR5114450437,G118
KR5175450016,D106
KR5170651114,M109
KR5125450080,M109
KR510904141M,D102
KR5172440030,V101
KR5119450006,C103
KR5170490095,D102
KR5144450009,C103
KR5113490149,M111
KR511071102M,C101
KR5148651013,C101
KR5111490045,V102
KR5148450156,C103
KR512102032M,P104
KR5144430005,G115
KR513702050M,M111
KR510902540M,D102
KR5110501003,V101
KR5153480080,M106
KR5178430001,D102
KR5137470081,P101
KR5118450204,M111
KR510902521M,M111
KR5178490033,G110
KR5113430066,D102
KR5157420009,M105
KR510902249M,D106
KR5174450003,G115
KR5153490723,C103
KR5114450617,IND
KR5148450061,M111
KR5127420051,F102
KR5118201009,V101
KR510902037M,IND
KR5138490021,M120
KR5114420133,USA
KR5129450192,D102
KR5133400029,F103
KR5153490070,D102
KR5114490347,F103
KR5116450023,M109
KR5113420018,D102
KR5151450022,V101
KR5144431000,M111
KR5148450086,IND
KR5032410001,C101
KR513706020M,D106
KR5153451127,D106
KR5132450010,N167
KR5114440057,W101
KR5127450151,N140
KR5124491001,C102
KR5125440030,V101
KR510902974M,C103
KR5114450257,G118
KR5151450097,C101
KR5127450115,N135
KR5120450025,M111
KR5143490016,R102
KR5179450012,D102
KR5113450288,D102
KR5156450028,M111
KR510909222M,D106
KR517602029M,D106
KR5138601003,M111
KR510902137M,V103
KR5114420053,D102
KR510902833M,M111
KR5153450889,G115
KR5170450013,N114
KR5113450005,D102
KR5153450092,D102
KR5114490119,M109
KR5138490047,C103
KR5153450814,V102
KR5148450033,M112
KR5153550020,F103
KR5144420080,C101
KR5110450033,G118
KR5114490379,M109
KR513509009M,C101
KR5134490048,M112
KR5148450153,G118
KR5153450582,C101
KR5133420015,M105
KR510601062M,V101
KR5113490138,M111
KR5181490208,W101
KR5117490401,V102
KR5153400064,W101
KR5117490423,D106
KR517609023M,D106
KR5127490136,M112
KR515002043M,N109
KR5113430020,C103
KR5153450070,D102
KR5125450103,P104
KR510903101M,F103
KR5157450122,V102
KR5156450028,M109
KR5114420105,M112
KR5114450088,N122
KR5153450263,C103
KR5153451129,D106
KR510902160M,C101
KR5127450361,N143
KR5153400085,T250
KR5129490089,W101
KR5111490002,D102
KR5153450940,C101
KR5153430083,M109
KR5113450033,D102
KR5181490204,G118
KR5131450148,M111
KR5156490063,R107
KR5132430053,F104
KR5119450065,C101
KR518105052M,D102
KR5129450040,M111
KR5129490046,M112
KR5153450363,F101
KR5123650019,M111
KR5139601010,F101
KR5123450053,V101
KR5153450855,M111
KR5153490645,F103
KR5110520016,C101
KR5119450114,D102
KR5153450050,M111
KR5127470022,KOR
KR5153451136,V102
KR5114450414,V102
KR5114800001,M111
KR517509056M,W122
KR5147430046,C103
KR5187450091,W122
KR5149450097,V101
KR513003003M,M111
KR5153490101,M111
KR5114450606,C101
KR511L470000,C103
KR5172450109,M111
KR5127490271,M109
KR5147450054,M111
KR5138490136,D102
KR5153450639,VNM
KR5110420110,M109
KR5142490020,JPN
KR5127450146,C103
KR5182490010,M120
KR5133470015,V103
KR5113440050,C103
KR5113459033,N167
KR5117420091,C101
KR5129490010,C103
KR5157480014,M111
KR5136450023,N135
KR5153450240,V101
KR5131430016,D106
KR5148450013,V102
KR5114450665,V102
KR510902849M,C101
KR5129800002,C103
KR5127450473,G115
KR518104093M,V101
KR5018410020,D102
KR5149490006,M111
KR5117430301,M109
KR5153480008,N125
KR5114470030,D102
KR510509004M,C103
KR511102072M,C101
KR5144420095,D102
KR5114450403,V102
KR5114450040,V102
KR514X450002,C101
KR5153490451,M109
KR511701125M,M111
KR518104009M,V103
KR5113420012,M111
KR5137470046,C101
KR5114490359,C103
KR511302003M,M111
KR517609085M,C101
KR510902947M,G118
KR5153490431,C101
KR5113450327,C103
KR5153450917,V101
KR511L430023,D106
KR5153450361,G118
KR5172420020,M109
KR5129450143,C101
KR5119450089,M104
KR5153450372,F101
KR5181490049,M111
KR5113490020,D102
KR5153450179,G118
KR5153450401,V102
KR5010201145,V101
KR5114490492,C103
KR5114450037,W102
KR5116601016,M111
KR5113450121,V101
KR5113450252,G118
KR5170420015,W104
KR5153420022,D106
KR513706018M,M109
KR510909225M,C101
KR5131420008,C101
KR5131490053,D106
KR5127440021,M111
KR5123490022,C103
KR5114450618,N135
KR5117490026,C103
KR5170490004,C103
KR5114450232,M111
KR5152430135,R107
KR5127470094,USA
KR512509016M,D102
KR5181490120,D102
KR5147450057,C101
KR5131490043,G110
KR514X450002,C103
KR5127490074,V102
KR517309009M,C103
KR513502049M,V102
KR5148651004,USA
KR5514490017,C101
KR5175470010,M109
KR5134400003,D102
KR5114450313,V101
KR5124491000,C103
KR5152430110,D102
KR5181450035,G110
KR513304019M,M111
KR5117430003,D102
KR5114440000,C101
KR513509054M,D102
KR5127450214,G110
KR518101016M,G115
KR5181490173,V102
KR5153450307,P101
KR5133601063,M111
KR510902504M,M111
KR5131450154,D102
KR5144492022,C101
KR5039410038,M105
KR510902439M,M111
KR511L430020,C101
KR5126550010,P103
KR5120450020,M111
KR510902754M,D106
KR5153490041,C103
KR5114420118,F103
KR5110420078,M109
KR5153460011,D102
KR5149420011,F103
KR5153420103,P121
KR5143450031,G118
KR511X490003,M109
KR510502053M,C101
KR5117420034,M111
KR5125430043,V101
KR5153470084,M109
KR5127490189,C101
KR5172490014,S119
KR5114450651,N142
KR510902811M,N130
KR5156450055,D102
KR5117490043,M111
KR5144490015,G115
KR5153470042,C101
KR5027410021,C101
KR5129800002,C101
KR5114460003,V102
KR5153451138,C101
KR5147430030,V101
KR5127440007,M109
KR5116430027,M111
KR511703012M,C103
KR5181450026,G118
KR5153660014,S104
KR5139430117,V101
KR5114470022,C101
KR512102042M,V102
KR5153420241,M109
KR514102007M,D106
KR510904054M,D102
KR5123490015,C103
KR510909067M,V102
KR5120470020,D102
KR5153400044,M109
KR5127420034,D102
KR5113490232,M111
KR5153491005,D102
KR5113450247,V102
KR5172450132,F103
KR5127450231,M104
KR5148490080,C103
KR5153490710,C101
KR5152450029,M119
KR5144450095,C101
KR5174450031,G117
KR5110490065,M109
KR5127421001,C103
KR5153420078,F103
KR5187450039,C101
KR510902108M,N116
KR5110450086,C101
KR5114490146,W102
KR5131450032,M109
KR5134490085,C103
KR518104075M,M111
KR5138450043,W102
KR510902610M,O132
KR5156490028,D102
KR5134490026,D106
KR5117490020,M112
KR5117430007,C101
KR5152450012,C101
KR518102048M,M111
KR5113490279,V102
KR5181450015,M112
KR5114420121,M109
KR5127471001,D102
KR5119251002,V101
KR5117420047,C103
KR5181490200,N167
KR5134490076,W101
KR5117490128,C101
KR5153450306,C101
KR5118450050,V101
KR511102054M,D102
KR5149450081,C101
KR5117651014,D102
KR5127490283,C103
KR5117430081,D102
KR5125430036,C101
KR5153450281,V101
KR5153420030,M109
KR510902138M,D102
KR5114450061,P103
KR510304007M,M109
KR510909238M,V102
KR5114450529,V102
KR517509064M,G118
KR510906163M,C103
KR5153450038,O132
KR518102080M,D102
KR5153480080,T255
KR5187450040,N118
KR5170651009,C103
KR513506026M,C104
KR5147490045,T230
KR510902706M,D102
KR5152451001,D102
KR5153460013,M111
KR5119470000,V102
KR5127490321,V101
KR5151430054,C101
KR5182490031,V102
KR5172490004,M112
KR5153450906,D102
KR5127450340,W122
KR5133470015,M111
KR5153450211,M111
KR5153450716,D102
KR5053410030,C101
KR5131450156,F103
KR5113420021,V102
KR5129420030,G110
KR5145450046,M109
KR513509062M,C103
KR5123712002,F104
KR5119470007,M111
KR510902330M,C101
KR5170420034,C103
KR5127450193,G118
KR5014410067,C101
KR5144420017,G115
KR5148420091,D102
KR518102080M,F103
KR5137470095,S115
KR5178490024,M111
KR5152450013,D106
KR5134490037,C103
KR5131430014,V101
KR5127420035,V101
KR5119450151,G102
KR5148450010,M111
KR513506034M,C102
KR5123490024,W101
KR5125450137,M111
KR5181450038,G115
KR5116490004,C103
KR5181490110,O102
KR5117490075,M111
KR5153420110,V102
KR5129450186,M111
KR5133651009,D105
KR5127470098,W104
KR5159651008,V102
KR5138430011,R105
KR5114450403,F101
KR5153400044,N177
KR5153490300,M109
KR5148800019,W122
KR5114430091,D106
KR5145450028,F103
KR5117490144,D102
KR5152502006,V101
KR5153451129,V102
KR5113430900,F103
KR5114450500,C103
KR5127450362,M111
KR511509006M,USA
KR5142450036,C101
KR5172450110,N135
KR5113420050,M109
KR513509031M,D102
KR510902767M,D106
KR5113601002,V101
KR5114430115,D102
KR5153420106,M109
KR5113490077,N177
KR510902505M,C103
KR5153450389,V102
KR511803005M,D106
KR5513400011,C102
KR5181490102,D102
KR5120470044,C101
KR5157480023,G115
KR5181490014,M120
KR5149651003,C101
KR5153451138,V102
KR510901047M,V102
KR5181490128,F101
KR5127490065,M111
KR510902561M,C103
KR5118430032,W101
KR5170420030,P121
KR5120420068,C103
KR5113600026,C103
KR5153450583,M109
KR5153450589,W104
KR5148450036,W101
KR5127470041,C101
KR5127490308,G110
KR510903047M,C104
KR5144430015,N135
KR5114450299,D106
KR5114450257,D106
KR5149490057,W101
KR510902320M,C101
KR5153420097,M109
KR5153450241,M111
KR5114490328,F103
KR513502049M,W107
KR5153450909,C103
KR512603004M,C101
KR5180450027,D102
KR5142490066,D106
KR5118420068,C101
KR5020101412,C103
KR517502029M,M111
KR5123420038,F103
KR510906195M,JPN
KR5113490073,C101
KR5187430004,C101
KR5187540022,C101
KR5120490042,F103
KR5119520012,C103
KR5114490200,V102
KR511806013M,V101
KR510909156M,C101
KR5117430315,C103
KR5153470063,P101
KR5114490368,N177
KR5134400002,C101
KR5153490544,V102
KR5110420089,M111
KR5144450028,N130
KR5118490031,M109
KR5114601027,M109
KR5116430001,C102
KR5127400018,F103
KR5127420044,G115
KR5131490038,W101
KR5118420038,V101
KR5182490021,D102
KR5153470128,C101
KR5153450278,G118
KR5142450033,N109
KR5127430030,D102
KR5131450171,P104
KR5153570070,V102
KR513509066M,C101
KR510902027M,V103
KR5159490039,D106
KR5153450879,G115
KR5153490535,M109
KR5114490123,V102
KR5129490040,N177
KR512Q450239,V101
KR5131550100,P104
KR5120490044,V103
KR515301005M,D102
KR5118450176,D102
KR5153490634,V103
KR5110420111,C103
KR5129450162,M111
KR5127450336,M109
KR5131430014,M111
KR5114450363,M101
KR511106023M,N116
KR5114490428,M111
KR5153450596,G115
KR5148490133,N143
KR5153430133,D102
KR5113450103,M111
KR5138490131,C103
KR5153450206,V101
KR5159651019,V102
KR511015506M,V101
KR510902764M,M109
KR5153400061,C103
KR5172430055,R105
KR5144490085,F103
KR5153450842,M109
KR5123450065,D102
KR5113490060,C103
KR5156450056,M111
KR513102120M,C103
KR5114430149,W110
KR5111601006,C101
KR5144492004,F103
KR5125450114,M111
KR5010201942,C101
KR5181490229,D106
KR5153400059,M111
KR5147430076,W104
KR5114440004,C101
KR5181490159,G110
KR5127420080,D102
KR5117430006,D102
KR517309015M,V102
KR517609078M,D102
KR5152430137,C101
KR5113450307,D102
KR5117490157,C103
KR5153450833,V101
KR5114800009,W111
KR5120530021,F107
KR5142490012,C103
KR5153450911,C101
KR5138470000,D102
KR5153400049,C103
KR5153450771,C101
KR510909180M,C101
KR5113450505,M111
KR5110651001,IND
KR510902413M,D105
KR5134450027,M109
KR5114490095,W101
KR5127450374,M111
KR5139430026,C101
KR5127420144,M111
KR5157450093,C103
KR5124471001,V101
KR510909248M,G110
KR5117651004,V102
KR5114440040,D102
KR5127450031,M109
KR5153491001,D106
KR5153440012,M106
KR5129450150,M109
KR510902493M,V102
KR5117420006,V102
KR5144492061,M109
KR5122470011,C101
KR5148420101,C103
KR510902769M,D102
KR5142490030,M111
KR5153430210,V103
KR513502102M,M109
KR5139420012,V101
KR5182490134,D102
KR5153470020,M112
KR510902619M,D102
KR5113490095,M111
KR5118430041,C103
KR5113490011,V102
KR5153490634,F103
KR5144450107,M109
KR5153450763,C101
KR5153420253,M111
KR5123450124,N143
KR510905008M,M111
KR5172450038,P103
KR5185490081,M111
KR5145450043,V103
KR5114450559,C103
KR5161420001,V101
KR5113490107,N177
KR5123651017,C103
KR510904159M,W101
KR5120420057,M105
KR5148490035,C101
KR5552430013,M111
KR5113450126,C101
KR510909058M,M111
KR5010410004,G110
KR5127450195,C103
KR5113456007,M111
KR5117490453,C102
KR5123450015,F101
KR5120490082,W101
KR5127450147,F101
KR5153450255,C103
KR5143450015,G118
KR5153490593,M109
KR5114450182,V101
KR515009097M,C101
KR5114470085,V101
KR5133450038,G118
KR5153450177,D101
KR5153490594,M112
KR5127450004,D102
KR5117490188,C103
KR515009091M,C101
KR5114440021,F103
KR5187450046,C101
KR5170470008,W104
KR5151470011,V102
KR5120490085,D106
KR5117450018,M111
KR5153490430,D102
KR5114420121,C101
KR5117490107,D102
KR5153490030,V102
KR5148490160,C103
KR510903076M,C104
KR5114450158,D102
KR515009068M,M112
KR5144490001,M112
KR5139420011,D102
KR5113490149,N177
KR5153470001,M111
KR510909057M,D102
KR511301101M,D102
KR510901128M,W104
KR5182490037,D102
KR5114450501,W104
KR5153400020,N177
KR5148450035,C101
KR5118420016,V101
KR5529400023,C101
KR5139430107,G115
KR5129450092,F103
KR5144450111,D102
KR512002068M,G118
KR513509030M,M109
KR5144490109,C101
KR5153420206,M111
KR5114490236,M112
KR5113440020,W110
KR5127450260,F103
KR5514490017,M109
KR5125490025,M106
KR5117430025,G115
KR5153530061,C103
KR510506030M,V101
KR5180450010,C101
KR5123490147,V102
KR5119450091,M111
KR5127490045,M112
KR513502050M,C101
KR510903115M,W101
KR5153450102,C101
KR5157480003,N138
KR5127470099,C103
KR5131450025,D102
KR5142450061,D102
KR5153490601,C101
KR5116450013,M109
KR5114440050,C103
KR5151440011,M109
KR5153450201,C103
KR513003003M,W109
KR5129450112,M111
KR5147490054,M109
KR510902493M,M109
KR518102017M,C103
KR5147450090,C103
KR5153490601,M109
KR5123490124,W101
KR5127470077,D106
KR5137470086,M111
KR510102022M,P101
KR5120490082,F103
KR511014525M,S107
KR5154601001,M111
KR5148450019,G118
KR5114490037,C103
KR510902170M,D105
KR5120352037,M111
KR5117490062,C103
KR5153450955,G115
KR5114450460,C101
KR5114450416,V102
KR5169950016,D106
KR5118420032,C101
KR5127490117,N177
KR512Q450003,M111
KR5152420022,C103
KR5113450331,W104
KR5114550011,D102
KR5153400023,F103
KR5110800004,C103
