분류,키,한글명,의미,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
별칭사전|투자은어,국장,국내 주식시장,"'국내 시장(코스피·코스닥)'의 준말로, 데이터에서는 국내ETF(PREF01N001)·국내 주식형 자산유형으로 매핑한다.",국내장;한국장;코스피 시장,은어,medium,검증통과,한국 개인투자자 통용 신조어(나무위키 '국장' 항목)
별칭사전|투자은어,미장,미국 주식시장,"'미국 시장'의 준말로, 데이터에서는 해외ETF(PREF02N001) 또는 국내상장 미국지수 추종 ETF(상품명 '미국' 패턴)로 매핑한다.",미국장;뉴욕장;월가,은어,medium,검증통과,한국 개인투자자 통용 신조어(나무위키 '미장' 항목)
별칭사전|투자은어,서학개미,해외주식 투자 개인투자자,미국 등 해외 주식·ETF에 직접 투자하는 한국 개인투자자를 일컫는 신조어. 서학개미 관련 질의는 해외ETF 데이터(PREF02N001)와 연결된다.,서학 개미;해외주식 개미,은어,high,검증통과,한국 언론 통용 신조어(한국경제 등 다수 보도)
별칭사전|투자은어,동학개미,국내주식 투자 개인투자자,2020년 코로나 급락장 이후 국내 주식을 매수한 개인투자자를 일컫는 신조어(동학농민운동에서 유래). 국내 시장·국내ETF 관련 질의 맥락으로 매핑한다.,동학 개미;개미 투자자,은어,high,검증통과,한국 언론 통용 신조어(한국경제 등 다수 보도)
별칭사전|투자은어,월배당,월분배(월지급식) ETF,"분배금을 매월 지급하는 ETF 통칭. 국내ETF는 상품명 '월배당' 패턴 또는 분배주기 필드로, 해외는 JEPI 등 monthly distribution 상품으로 매핑한다.",월분배;월지급;먼슬리 배당;월배당 ETF,은어,high,검증통과,https://www.pinpointnews.co.kr/news/articleView.html?idxno=441429
별칭사전|투자은어,커버드콜,커버드콜(콜옵션 매도 인컴 전략) ETF,기초자산 보유+콜옵션 매도로 옵션 프리미엄 인컴을 얻는 전략의 통칭. 상품명 '커버드콜'/'데일리커버드콜'/'위클리커버드콜'/'프리미엄' 패턴과 cu_strtegy(운용전략) 값으로 매핑하며 JEPI·YieldMax류가 해외 대표다.,콜옵션 매도;옵션 인컴;커버드콜 ETF;타겟커버드콜,은어,high,검증통과,https://www.hankyung.com/article/2024072325246
별칭사전|투자은어,배당킹,배당킹(50년 이상 연속 배당 성장 기업),50년 이상 연속 배당을 늘린 미국 기업 통칭. 상품명 '배당킹'/'Dividend King' 패턴 및 배당성장 전략 ETF로 매핑한다.,디비던드 킹;배당왕;Dividend Kings,은어,medium,검증통과,미국 배당투자 통용 용어(S&P Dow Jones Indices 정의 준용)
별칭사전|투자은어,배당귀족,배당귀족(S&P500 내 25년 이상 연속 배당 성장 기업),S&P500 편입 종목 중 25년 이상 연속 배당을 늘린 기업 통칭(S&P500 Dividend Aristocrats 지수). 상품명 '배당귀족'/'디비던드' 패턴 및 NOBL류 상품으로 매핑한다.,디비던드 아리스토크랏;Dividend Aristocrats;배당 귀족주,은어,high,검증통과,S&P Dow Jones Indices 'S&P 500 Dividend Aristocrats' 지수 정의
별칭사전|투자은어,파킹형,파킹형(단기자금운용) ETF,CD금리·KOFR·머니마켓 등 초단기 금리를 추종해 대기자금을 두는 ETF 통칭. 상품명 'CD금리'/'KOFR'/'머니마켓액티브' 패턴으로 매핑한다.,파킹 ETF;파킹통장 ETF;CD금리 ETF;머니마켓,은어,high,검증통과,https://www.sisajournal-e.com/news/articleView.html?idxno=408069
별칭사전|투자은어,돈나무,캐시 우드(ARK Invest CEO),ARK Invest CEO Cathie Wood의 한국 별명(Cathie→Cash 언어유희). '돈나무 언니 ETF' 질의는 ARKK 등 ARK 상품으로 매핑한다.,돈나무 언니;캐시우드;캐서린 우드,은어,high,검증통과,한국 개인투자자 통용 별명(다수 언론 보도)
별칭사전|투자은어,빅테크,미국 대형 기술주,애플·마이크로소프트·엔비디아 등 미국 초대형 기술기업 통칭. 상품명 '빅테크'/'테크TOP10'/'미국테크' 패턴 및 나스닥100 추종 상품으로 매핑한다.,매그니피센트7;M7;마7;메가테크;FAANG,은어,high,검증통과,통용 시장 용어(다수 언론 보도)
별칭사전|투자은어,금현물,금 현물 투자 ETF,"금 현물 가격을 추종하는 ETF 통칭으로 국내 대표는 'ACE KRX금현물'(퇴직연금 편입 가능)이다. 상품명 '금현물'/'골드' 패턴, 해외는 GLD·IAU로 매핑한다.",금 ETF;골드 ETF;KRX금현물;금투자,은어,medium,검증통과,https://www.aceetf.co.kr
별칭사전|투자은어,채권혼합,채권혼합형(주식+채권 혼합) 상품,주식과 채권을 혼합해 주식 비중을 제한(통상 50% 이하)한 유형 통칭으로 퇴직연금 안전자산 30% 룰 대응 상품('국채혼합50' 등)이 많다. 상품명 '채권혼합'/'혼합50' 패턴과 자산유형 필드(wu_inv_ast_type 등)로 매핑한다.,혼합형;주식채권혼합;국채혼합;자산배분형,은어,medium,검증통과,금융투자협회 펀드 유형 분류 기준
별칭사전|투자은어,TDF,타깃데이트펀드(Target Date Fund),은퇴 목표시점(2030·2040·2050 등 빈티지)에 맞춰 주식·채권 비중을 자동 조정(글라이드패스)하는 펀드 통칭. 공모펀드·ETF 상품명 'TDF+연도' 패턴으로 매핑한다.,타겟데이트펀드;티디에프;은퇴펀드;빈티지 펀드,은어,high,검증통과,금융감독원 금융용어사전(TDF)
별칭사전|투자은어,연금 ETF,연금계좌(IRP·연금저축) 투자 가능 ETF,개인연금·퇴직연금 계좌에서 매매하는 ETF 통칭으로 파생형(레버리지·인버스)은 연금계좌 편입 불가라는 제약과 함께 해석해야 한다. 월배당·TDF·채권혼합 상품과 연관된다.,퇴직연금 ETF;IRP ETF;연금저축 ETF,은어,medium,검증통과,금융감독원 퇴직연금 감독규정(파생상품 위험평가액 규제)
별칭사전|티커통칭,큐큐큐,Invesco QQQ Trust(나스닥100 추종),나스닥100 지수를 추종하는 미국 대표 ETF QQQ의 한글 구어 표기. 'QQQ 같은 거' 질의는 해외ETF QQQ 또는 국내상장 나스닥100 ETF(TIGER/KODEX 미국나스닥100 등)로 매핑한다.,QQQ;큐큐;나스닥 ETF;QQQM(미니 큐큐큐),티커통칭,high,검증통과,https://www.invesco.com/qqq-etf/en/home.html
별칭사전|티커통칭,스파이,SPDR S&P 500 ETF Trust(SPY),"S&P500 추종 세계 최대 ETF SPY의 한글 구어 표기. 국내 대응 상품은 'TIGER 미국S&P500', 'KODEX 미국S&P500' 등이다.",SPY;에스피와이;S&P500 ETF,티커통칭,high,검증통과,https://www.ssga.com/us/en/intermediary/etfs/spdr-sp-500-etf-trust-spy
별칭사전|티커통칭,슈드,Schwab U.S. Dividend Equity ETF(SCHD),"미국 배당성장 ETF SCHD의 한글 구어 표기(발음 '슈드'). 국내 대응 상품은 '미국배당다우존스' 명칭의 ETF(TIGER/ACE/SOL 미국배당다우존스 등, Dow Jones U.S. Dividend 100 추종)다.",SCHD;에스씨에이치디;미국배당다우존스;한국판 SCHD,티커통칭,high,검증통과,https://www.schwabassetmanagement.com/products/schd
별칭사전|티커통칭,TQQQ,ProShares UltraPro QQQ(나스닥100 3배 레버리지),나스닥100 일간수익률 3배 추종 레버리지 ETF로 서학개미 순매수 상위 단골 종목. 운용사는 ProShare Advisors다.,티큐큐큐;티큐;3배 나스닥,티커통칭,high,검증통과,https://www.proshares.com/our-etfs/leveraged-and-inverse/tqqq
별칭사전|티커통칭,SQQQ,ProShares UltraPro Short QQQ(나스닥100 -3배 인버스),나스닥100 일간수익률 -3배 추종 인버스 레버리지 ETF. '나스닥 곱버스'류 질의와 연결된다.,에스큐큐큐;나스닥 인버스 3배,티커통칭,high,검증통과,https://www.proshares.com/our-etfs/leveraged-and-inverse/sqqq
별칭사전|티커통칭,SOXL,Direxion Daily Semiconductor Bull 3X(반도체 3배 레버리지),미국 반도체 지수(ICE Semiconductor) 일간 3배 추종 ETF로 한국 투자자 구어로 '속슬'이라 불린다. 운용사는 Direxion(Rafferty)이다.,"속슬;쏙슬;반도체 3배;SOXS(인버스, 속스)",티커통칭,high,검증통과,https://www.direxion.com/product/daily-semiconductor-bull-bear-3x-etfs
별칭사전|티커통칭,JEPI,JPMorgan Equity Premium Income ETF,S&P500 기반 커버드콜(ELN) 월배당 인컴 ETF로 구어로 '제피'라 불린다. 국내 '미국배당프리미엄' 류 커버드콜 상품과 연결된다.,"제피;JEPQ(젭큐, 나스닥 버전);월배당 커버드콜",티커통칭,high,검증통과,https://am.jpmorgan.com/us/en/asset-management/adv/products/jpmorgan-equity-premium-income-etf-etf-shares-46641q332
별칭사전|티커통칭,TLT,iShares 20+ Year Treasury Bond ETF,"미국 20년 이상 장기 국채 ETF로 '미국채'·'미장기채' 질의의 대표 매핑 대상. 국내 대응은 'TIGER 미국채30년스트립' 등 미국채 30년 상품과 환헤지형 'KODEX 미국채울트라30년선물(H)', 그리고 엔화노출형은 'RISE 미국30년국채엔화노출(합성 H)'(구 KBSTAR, 국내 최초 엔화노출 미국채 ETF, 일본 상장 2621 ETF와 동일 수익 추종) 류로 구분해 매핑해야 한다.",미국채 ETF;미국 장기채;틀트;TMF(3배),티커통칭,medium,정정반영,https://www.ishares.com/us/products/239454/ | 검증정정: https://www.riseetf.co.kr/info/market/190 ; https://www.samsungfund.com/etf/product/view.do?id=2ETFAA
별칭사전|지수통칭,나스닥,나스닥100 지수(NASDAQ-100),한국 개인투자자 구어에서 '나스닥 ETF'는 대부분 나스닥종합지수가 아닌 나스닥100 추종 상품을 가리킨다. 상품명 '나스닥100'/'미국나스닥' 패턴과 QQQ류로 매핑한다.,나스닥100;나스닥 100;NASDAQ100;NDX,지수통칭,high,검증통과,https://www.nasdaq.com/solutions/global-indexes/nasdaq-100
별칭사전|지수통칭,S&P500,S&P500 지수(Standard & Poor's 500),"미국 대형주 500종목 대표지수로 사용자 표기가 매우 다양하다(에스앤피500, SNP500, 스탠다드앤푸어스 등). 상품명 'S&P500'/'미국S&P500' 패턴으로 매핑한다.",에스앤피500;에센피500;SNP500;스누피500;스탠다드앤푸어스;SPX,지수통칭,high,검증통과,https://www.spglobal.com/spdji/en/indices/equity/sp-500/
별칭사전|지수통칭,코스피200,KOSPI200 지수,한국거래소가 산출하는 유가증권시장 대표 200종목 지수로 국내 ETF·ETN·선물의 최다 기초지수다. 상품명 '200'/'코스피200' 패턴으로 매핑한다.,KOSPI200;K200;코피200;코스피 200,지수통칭,high,검증통과,http://index.krx.co.kr
별칭사전|지수통칭,코스닥150,KOSDAQ150 지수,"코스닥시장 대표 150종목 지수로 '코스닥 레버리지', '코스닥 곱버스' 질의의 기초지수다. 상품명 '코스닥150' 패턴으로 매핑한다.",KOSDAQ150;코닥150;코스닥 150,지수통칭,high,검증통과,http://index.krx.co.kr
별칭사전|지수통칭,미국배당다우존스,Dow Jones U.S. Dividend 100 지수,SCHD(슈드)와 국내 'OO 미국배당다우존스' ETF들이 공통으로 추종하는 배당성장 지수. '한국판 슈드' 질의를 이 지수 추종 국내 상품으로 매핑한다.,다우존스 배당100;Dow Jones US Dividend 100;슈드 지수,지수통칭,high,검증통과,https://www.spglobal.com/spdji/en/indices/dividends-factors/dow-jones-us-dividend-100-index/
